IEN,VaProductName,GenericName,DrugClassCode,DrugClassName,NationalDrugCode,Strength,DosageForm,Route,Unit
1001,METFORMIN HCL 500MG TAB,METFORMIN,HS502,ORAL HYPOGLYCEMIC AGENTS BIGUANIDES,00093-1048-01,500,TABLET,ORAL,MG
1002,METFORMIN HCL 1000MG TAB,METFORMIN,HS502,ORAL HYPOGLYCEMIC AGENTS BIGUANIDES,00093-1049-01,1000,TABLET,ORAL,MG
1003,LISINOPRIL 10MG TAB,LISINOPRIL,CV800,ACE INHIBITORS,00185-0131-01,10,TABLET,ORAL,MG
1004,LISINOPRIL 20MG TAB,LISINOPRIL,CV800,ACE INHIBITORS,00185-0132-01,20,TABLET,ORAL,MG
1005,ATORVASTATIN CALCIUM 20MG TAB,ATORVASTATIN,CV350,ANTILIPEMIC AGENTS HMG COA REDUCTASE INHIBITORS,00071-0155-23,20,TABLET,ORAL,MG
1006,ATORVASTATIN CALCIUM 40MG TAB,ATORVASTATIN,CV350,ANTILIPEMIC AGENTS HMG COA REDUCTASE INHIBITORS,00071-0157-23,40,TABLET,ORAL,MG
1007,AMLODIPINE BESYLATE 5MG TAB,AMLODIPINE,CV200,CALCIUM CHANNEL BLOCKERS,00069-1530-68,5,TABLET,ORAL,MG
1008,AMLODIPINE BESYLATE 10MG TAB,AMLODIPINE,CV200,CALCIUM CHANNEL BLOCKERS,00069-1540-68,10,TABLET,ORAL,MG
1009,OMEPRAZOLE 20MG CAP DR,OMEPRAZOLE,GA301,PROTON PUMP INHIBITORS,00186-5020-31,20,CAPSULE,ORAL,MG
1010,OMEPRAZOLE 40MG CAP DR,OMEPRAZOLE,GA301,PROTON PUMP INHIBITORS,00186-5040-31,40,CAPSULE,ORAL,MG
1011,LEVOTHYROXINE SODIUM 50MCG TAB,LEVOTHYROXINE,TH100,THYROID AGENTS,00074-3726-13,50,TABLET,ORAL,MCG
1012,LEVOTHYROXINE SODIUM 100MCG TAB,LEVOTHYROXINE,TH100,THYROID AGENTS,00074-3727-13,100,TABLET,ORAL,MCG
1013,LOSARTAN POTASSIUM 50MG TAB,LOSARTAN,CV805,ANGIOTENSIN II RECEPTOR BLOCKERS,00093-7367-56,50,TABLET,ORAL,MG
1014,LOSARTAN POTASSIUM 100MG TAB,LOSARTAN,CV805,ANGIOTENSIN II RECEPTOR BLOCKERS,00093-7368-56,100,TABLET,ORAL,MG
